"","V1","V2"
"171","Mabeuf","Bahorel"
"172","Enjolras","Bahorel"
"173","Feuilly","Bahorel"
"174","Prouvaire","Bahorel"
"175","Marius","Bahorel"
"176","Marius","Bossuet"
"177","Courfeyrac","Bossuet"
"178","Gavroche","Bossuet"
"179","Bahorel","Bossuet"
"180","Enjolras","Bossuet"
"181","Feuilly","Bossuet"
"182","Prouvaire","Bossuet"
"183","Combeferre","Bossuet"
"184","Mabeuf","Bossuet"
"185","Valjean","Bossuet"
"186","Bahorel","Joly"
"187","Bossuet","Joly"
"188","Gavroche","Joly"
"189","Courfeyrac","Joly"
"190","Enjolras","Joly"
"191","Feuilly","Joly"
"192","Prouvaire","Joly"
"193","Combeferre","Joly"
"194","Mabeuf","Joly"
"195","Marius","Joly"
"196","Bossuet","Grantaire"
"197","Enjolras","Grantaire"
"198","Combeferre","Grantaire"
"199","Courfeyrac","Grantaire"
"200","Joly","Grantaire"
"201","Gavroche","Grantaire"
"202","Bahorel","Grantaire"
"203","Feuilly","Grantaire"
"204","Prouvaire","Grantaire"
"205","Mabeuf","MotherPlutarch"
"206","Thenardier","Gueulemer"
"207","Valjean","Gueulemer"
"208","MmeThenardier","Gueulemer"
"209","Javert","Gueulemer"
"210","Gavroche","Gueulemer"
"211","Eponine","Gueulemer"
"212","Thenardier","Babet"
"213","Gueulemer","Babet"
"214","Valjean","Babet"
"215","MmeThenardier","Babet"
"216","Javert","Babet"
"217","Gavroche","Babet"
"218","Eponine","Babet"
"219","Thenardier","Claquesous"
"220","Babet","Claquesous"
"221","Gueulemer","Claquesous"
"222","Valjean","Claquesous"
"223","MmeThenardier","Claquesous"
"224","Javert","Claquesous"
"225","Eponine","Claquesous"
"226","Enjolras","Claquesous"
"227","Javert","Montparnasse"
"228","Babet","Montparnasse"
"229","Gueulemer","Montparnasse"
"230","Claquesous","Montparnasse"
"231","Valjean","Montparnasse"
"232","Gavroche","Montparnasse"
"233","Eponine","Montparnasse"
"234","Thenardier","Montparnasse"
"235","Cosette","Toussaint"
"236","Javert","Toussaint"
"237","Valjean","Toussaint"
"238","Gavroche","Child1"
"239","Gavroche","Child2"
"240","Child1","Child2"
"241","Babet","Brujon"
"242","Gueulemer","Brujon"
"243","Thenardier","Brujon"
"244","Gavroche","Brujon"
"245","Eponine","Brujon"
"246","Claquesous","Brujon"
"247","Montparnasse","Brujon"
"248","Bossuet","MmeHucheloup"
"249","Joly","MmeHucheloup"
"250","Grantaire","MmeHucheloup"
"251","Bahorel","MmeHucheloup"
"252","Courfeyrac","MmeHucheloup"
"253","Gavroche","MmeHucheloup"
"254","Enjolras","MmeHucheloup"
